<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,CLOSE,<VOL>
MOEX.SBER:SMAL,60,17/06/22,16:00:00,124.0000000,124.0000000,122.3300000,122.3300000,8
MOEX.SBER:SMAL,60,17/06/22,17:00:00,124.0000000,124.0000000,124.0000000,124.0000000,2
MOEX.SBER:SMAL,60,17/06/22,18:00:00,124.5900000,124.5900000,124.5900000,124.5900000,1
MOEX.SBER:SMAL,60,17/06/22,19:00:00,123.9200000,123.9200000,123.3100000,123.3100000,4
MOEX.SBER:SMAL,60,20/06/22,11:00:00,125.0000000,125.0000000,123.0000000,124.7800000,10
MOEX.SBER:SMAL,60,20/06/22,12:00:00,123.8900000,123.8900000,123.5100000,123.5100000,4
MOEX.SBER:SMAL,60,20/06/22,13:00:00,124.9900000,124.9900000,124.9900000,124.9900000,2
MOEX.SBER:SMAL,60,20/06/22,15:00:00,124.7200000,124.9900000,124.7200000,124.9900000,10
MOEX.SBER:SMAL,60,20/06/22,16:00:00,125.5800000,125.5900000,125.5800000,125.5900000,12
MOEX.SBER:SMAL,60,20/06/22,17:00:00,125.5900000,125.8900000,125.5900000,125.8900000,3
MOEX.SBER:SMAL,60,20/06/22,18:00:00,125.5000000,127.2900000,125.5000000,127.2900000,20
MOEX.SBER:SMAL,60,20/06/22,19:00:00,127.8300000,131.0900000,127.8300000,130.0100000,13
MOEX.SBER:SMAL,60,21/06/22,11:00:00,130.0000000,130.0100000,129.6000000,129.6000000,5
MOEX.SBER:SMAL,60,21/06/22,13:00:00,128.8900000,129.0000000,128.8900000,129.0000000,5
MOEX.SBER:SMAL,60,21/06/22,18:00:00,130.0000000,130.0000000,130.0000000,130.0000000,1
MOEX.SBER:SMAL,60,21/06/22,19:00:00,129.2100000,129.2100000,129.2000000,129.2000000,2
MOEX.SBER:SMAL,60,22/06/22,11:00:00,129.0000000,129.0000000,129.0000000,129.0000000,2
MOEX.SBER:SMAL,60,22/06/22,13:00:00,130.8000000,130.8000000,130.8000000,130.8000000,1
MOEX.SBER:SMAL,60,22/06/22,14:00:00,130.7000000,130.7000000,130.7000000,130.7000000,1
MOEX.SBER:SMAL,60,22/06/22,15:00:00,130.0100000,130.0100000,130.0100000,130.0100000,1
MOEX.SBER:SMAL,60,22/06/22,17:00:00,130.0000000,130.3900000,130.0000000,130.3900000,12
MOEX.SBER:SMAL,60,22/06/22,19:00:00,131.7800000,132.3600000,131.7800000,132.3600000,2
MOEX.SBER:SMAL,60,23/06/22,11:00:00,125.0100000,136.4700000,122.8400000,136.4700000,70
MOEX.SBER:SMAL,60,23/06/22,13:00:00,136.7700000,136.7700000,136.7700000,136.7700000,2
